trip_id,start_time,end_time,headway_secs,exact_times
MYP_R01_AM,08:00:00,12:00:00,300,0
MYP_R01_PM,16:00:00,21:30:00,300,0
MYP_R02_AM,08:00:00,12:00:00,300,0
MYP_R02_PM,16:00:00,21:30:00,300,0
MYP_R03_AM,08:00:00,12:00:00,300,0
MYP_R03_PM,16:00:00,21:30:00,300,0
MYP_R04_AM,08:00:00,10:30:00,1200,0
MYP_R04_PM,16:00:00,20:00:00,1200,0
MYP_R05_AM,08:00:00,12:00:00,1200,0
MYP_R05_PM,16:00:00,21:30:00,1200,0
MYP_R06_AM,08:00:00,12:00:00,1200,0
MYP_R06_PM,16:00:00,21:30:00,1200,0
MYP_R07_AM,08:00:00,12:00:00,1200,0
MYP_R07_PM,16:00:00,21:30:00,1200,0
MYP_R08_AM,08:00:00,12:00:00,1200,0
MYP_R08_PM,16:00:00,21:30:00,1200,0
LBN_R01_AM,08:00:00,11:00:00,900,0
LBN_R01_PM,17:00:00,21:30:00,900,0
LBN_R02_AM,08:00:00,11:00:00,1200,0
LBN_R02_PM,17:00:00,21:30:00,1200,0
LBN_R03_AM,08:00:00,11:00:00,1200,0
LBN_R03_PM,17:00:00,21:30:00,1200,0
NAG_R01_PM,17:00:00,21:30:00,1200,0
TAR_R01_PM,17:00:00,21:30:00,1200,0
TAR_R02_PM,17:00:00,21:30:00,1200,0
MTG_R01_AM,08:00:00,11:00:00,900,0
MTG_R01_PM,17:00:00,21:30:00,900,0
MTG_R02_AM,08:00:00,11:00:00,900,0
MTG_R02_PM,17:00:00,21:30:00,900,0
MTG_R03_AM,08:00:00,11:00:00,1200,0
MTG_R03_PM,17:00:00,21:30:00,1200,0
MTG_R04_AM,08:00:00,11:00:00,1200,0
MTG_R04_PM,17:00:00,21:30:00,1200,0
MTG_R05_AM,08:00:00,11:00:00,1200,0
MTG_R05_PM,17:00:00,21:30:00,1200,0
MTG_R06_PM,17:00:00,21:30:00,1800,0
MTG_R07_PM,17:00:00,21:30:00,1800,0
PDG_R01_AM,08:00:00,11:00:00,1200,0
PDG_R02_AM,08:00:00,11:00:00,1200,0
RDU_R01_AM,08:00:00,12:00:00,900,0
RDU_R01_PM,17:00:00,20:00:00,900,0
RDU_R02_AM,08:00:00,12:00:00,900,0
RDU_R02_PM,17:00:00,20:00:00,900,0
RDU_R03_AM,08:00:00,12:00:00,1200,0
RDU_R03_PM,17:00:00,20:00:00,1200,0
RDU_R04_AM,08:00:00,12:00:00,1200,0
RDU_R04_PM,17:00:00,20:00:00,1200,0
RDU_R05_AM,08:00:00,12:00:00,1200,0
RDU_R05_PM,17:00:00,20:00:00,1200,0
RDU_R06_AM,08:00:00,12:00:00,1200,0
RDU_R06_PM,17:00:00,20:00:00,1200,0
RDU_R07_AM,08:00:00,12:00:00,1800,0
RDU_R07_PM,17:00:00,20:00:00,1800,0
RDU_R08_AM,08:00:00,12:00:00,1200,0
RDU_R08_PM,17:00:00,20:00:00,1200,0
RDU_R09_AM,08:00:00,12:00:00,2700,0
RDU_R09_PM,17:00:00,20:00:00,2700,0
RDU_R06E_AM,08:00:00,12:00:00,300,0
RDU_R06E_PM,12:00:00,21:00:00,300,0
RDU_R07C_AM,07:00:00,12:00:00,1200,0
RDU_R07C_PM,16:00:00,20:30:00,1200,0
