shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
MYP_R01_shape,17.4963756,78.3724185,1,0.0
MYP_R01_shape,17.493,78.349,2,2.512
MYP_R01_shape,17.502,78.336,3,4.215
MYP_R01_shape,17.485,78.324,4,6.494
MYP_R02_shape,17.4963756,78.3724185,1,0.0
MYP_R02_shape,17.493,78.349,2,2.512
MYP_R02_shape,17.502,78.336,3,4.215
MYP_R03_shape,17.4963756,78.3724185,1,0.0
MYP_R03_shape,17.490793,78.352188,2,2.233
MYP_R04_shape,17.4963756,78.3724185,1,0.0
MYP_R04_shape,17.5468,78.365,2,5.662
MYP_R05_shape,17.4963756,78.3724185,1,0.0
MYP_R05_shape,17.5208,78.2979,2,8.356
MYP_R06_shape,17.4963756,78.3724185,1,0.0
MYP_R06_shape,17.4954,78.296,2,8.105
MYP_R07_shape,17.4963756,78.3724185,1,0.0
MYP_R07_shape,17.5192,78.3066,2,7.427
MYP_R08_shape,17.4963756,78.3724185,1,0.0
MYP_R08_shape,17.48,78.31,2,6.866
LBN_R01_shape,17.3502938,78.5478238,1,0.0
LBN_R01_shape,17.3334,78.5623,2,2.427
LBN_R01_shape,17.341,78.558,3,3.387
LBN_R01_shape,17.338,78.56,4,3.783
LBN_R01_shape,17.33,78.57,5,5.168
LBN_R02_shape,17.3502938,78.5478238,1,0.0
LBN_R02_shape,17.3471,78.5499,2,0.418
LBN_R02_shape,17.3387,78.5588,3,1.746
LBN_R02_shape,17.338,78.56,4,1.896
LBN_R03_shape,17.3502938,78.5478238,1,0.0
LBN_R03_shape,17.3471,78.5499,2,0.418
LBN_R03_shape,17.345,78.545,3,0.988
LBN_R03_shape,17.336601,78.5534564,4,2.283
LBN_R03_shape,17.3262,78.5513,5,3.462
LBN_R03_shape,17.3141,78.5613,6,5.176
NAG_R01_shape,17.3916,78.5583,1,0.0
NAG_R01_shape,17.3503,78.5478,2,6.38
TAR_R01_shape,17.4288,78.5383,1,0.0
TAR_R01_shape,17.4675,78.556,2,6.338
TAR_R01_shape,17.487,78.563,3,9.432
TAR_R02_shape,17.4288,78.5383,1,0.0
TAR_R02_shape,17.4675,78.556,2,6.338
MTG_R01_shape,17.436,78.519,1,0.0
MTG_R01_shape,17.4455,78.5345,2,2.638
MTG_R01_shape,17.4474,78.5354,3,2.951
MTG_R01_shape,17.465,78.535,4,5.594
MTG_R02_shape,17.436,78.519,1,0.0
MTG_R02_shape,17.4455,78.5345,2,2.638
MTG_R02_shape,17.4474,78.5354,3,2.951
MTG_R03_shape,17.436,78.519,1,0.0
MTG_R03_shape,17.4474,78.5354,2,2.906
MTG_R03_shape,17.4747,78.5288,3,7.112
MTG_R04_shape,17.436,78.519,1,0.0
MTG_R04_shape,17.4565,78.5385,2,4.156
MTG_R05_shape,17.436,78.519,1,0.0
MTG_R05_shape,17.4668,78.5368,2,5.28
MTG_R06_shape,17.436,78.519,1,0.0
MTG_R06_shape,17.452,78.546,2,4.552
MTG_R07_shape,17.436,78.519,1,0.0
MTG_R07_shape,17.448,78.525,2,1.996
PDG_R01_shape,17.443,78.4976,1,0.0
PDG_R01_shape,17.481,78.549,2,9.312
PDG_R02_shape,17.443,78.4976,1,0.0
PDG_R02_shape,17.477,78.535,2,7.398
RDU_R01_shape,17.4416,78.3784,1,0.0
RDU_R01_shape,17.4436,78.3675,2,1.59
RDU_R01_shape,17.4468,78.3615,3,2.574
RDU_R01_shape,17.448,78.356,4,3.382
RDU_R01_shape,17.4476,78.3532,5,3.787
RDU_R02_shape,17.4416,78.3784,1,0.0
RDU_R02_shape,17.4432,78.3608,2,2.532
RDU_R03_shape,17.4416,78.3784,1,0.0
RDU_R03_shape,17.4415,78.3642,2,2.034
RDU_R04_shape,17.4416,78.3784,1,0.0
RDU_R04_shape,17.4442,78.3522,2,3.772
RDU_R05_shape,17.4416,78.3784,1,0.0
RDU_R05_shape,17.4437,78.3591,2,2.782
RDU_R06_shape,17.4416,78.3784,1,0.0
RDU_R06_shape,17.4445,78.35,2,4.09
RDU_R07_shape,17.4416,78.3784,1,0.0
RDU_R07_shape,17.4455,78.349,2,4.251
RDU_R08_shape,17.4416,78.3784,1,0.0
RDU_R08_shape,17.4433,78.3488,2,4.247
RDU_R09_shape,17.4416,78.3784,1,0.0
RDU_R09_shape,17.4487,78.347,2,4.621
RDU_R06E_shape,17.4416,78.3784,1,0.0
RDU_R06E_shape,17.4424,78.366,2,1.78
RDU_R06E_shape,17.4435,78.3638,3,2.136
RDU_R06E_shape,17.4437,78.3591,4,2.809
RDU_R06E_shape,17.4445,78.3585,5,2.957
RDU_R06E_shape,17.4441,78.3565,6,3.25
RDU_R06E_shape,17.443,78.3545,7,3.58
RDU_R06E_shape,17.4438,78.3534,8,3.778
RDU_R06E_shape,17.4442,78.3522,9,3.96
RDU_R07C_shape,17.4416,78.3784,1,0.0
RDU_R07C_shape,17.4472,78.354,2,3.594
RDU_R07C_shape,17.4476,78.3532,3,3.723
RDU_R07C_shape,17.4433,78.3488,4,4.625
RDU_R07C_shape,17.4446,78.3439,5,5.354
