origin_id,destination_id,fare_id
NAG,NAG,F_12
UPL,NAG,F_12
STD,NAG,F_18
NGR,NAG,F_18
HSG,NAG,F_30
TAR,NAG,F_30
MET,NAG,F_40
SEC_E,NAG,F_40
PRG,NAG,F_50
PAR,NAG,F_50
ROP,NAG,F_55
PRN,NAG,F_55
BEG,NAG,F_60
AME_B,NAG,F_60
MUN,NAG,F_60
YUG,NAG,F_66
JR5,NAG,F_66
JCP,NAG,F_66
PED,NAG,F_70
MAD,NAG,F_70
DGC,NAG,F_75
HTC,NAG,F_75
RDG,NAG,F_75
MYP,NAG,F_75
JNT,NAG,F_75
KPH,NAG,F_75
KUK,NAG,F_70
BLR,NAG,F_70
MSP,NAG,F_70
BTN,NAG,F_66
ERA,NAG,F_66
ESI,NAG,F_66
SRN,NAG,F_60
AME_R,NAG,F_60
PUN,NAG,F_60
IRM,NAG,F_66
KHA,NAG,F_66
LKP,NAG,F_70
ASM,NAG,F_70
NAM,NAG,F_70
GAB,NAG,F_66
OMC,NAG,F_66
MGB_R,NAG,F_66
MKL,NAG,F_66
NEM,NAG,F_66
MSB,NAG,F_70
DSN,NAG,F_70
CHP,NAG,F_75
VOM,NAG,F_75
LBN,NAG,F_75
SCR,NAG,F_50
GNH,NAG,F_55
MSH,NAG,F_55
RTC,NAG,F_60
CDP,NAG,F_60
NAR,NAG,F_60
SUB,NAG,F_66
NAG,UPL,F_12
UPL,UPL,F_12
STD,UPL,F_12
NGR,UPL,F_18
HSG,UPL,F_18
TAR,UPL,F_30
MET,UPL,F_30
SEC_E,UPL,F_40
PRG,UPL,F_50
PAR,UPL,F_50
ROP,UPL,F_50
PRN,UPL,F_55
BEG,UPL,F_55
AME_B,UPL,F_60
MUN,UPL,F_60
YUG,UPL,F_60
JR5,UPL,F_66
JCP,UPL,F_66
PED,UPL,F_66
MAD,UPL,F_70
DGC,UPL,F_70
HTC,UPL,F_75
RDG,UPL,F_75
MYP,UPL,F_75
JNT,UPL,F_75
KPH,UPL,F_70
KUK,UPL,F_70
BLR,UPL,F_66
MSP,UPL,F_66
BTN,UPL,F_66
ERA,UPL,F_66
ESI,UPL,F_60
SRN,UPL,F_60
AME_R,UPL,F_60
PUN,UPL,F_60
IRM,UPL,F_60
KHA,UPL,F_66
LKP,UPL,F_66
ASM,UPL,F_66
NAM,UPL,F_66
GAB,UPL,F_66
OMC,UPL,F_66
MGB_R,UPL,F_60
MKL,UPL,F_66
NEM,UPL,F_66
MSB,UPL,F_66
DSN,UPL,F_70
CHP,UPL,F_70
VOM,UPL,F_75
LBN,UPL,F_75
SCR,UPL,F_50
GNH,UPL,F_50
MSH,UPL,F_55
RTC,UPL,F_55
CDP,UPL,F_55
NAR,UPL,F_60
SUB,UPL,F_60
NAG,STD,F_18
UPL,STD,F_12
STD,STD,F_12
NGR,STD,F_12
HSG,STD,F_18
TAR,STD,F_18
MET,STD,F_30
SEC_E,STD,F_40
PRG,STD,F_40
PAR,STD,F_50
ROP,STD,F_50
PRN,STD,F_50
BEG,STD,F_55
AME_B,STD,F_55
MUN,STD,F_60
YUG,STD,F_60
JR5,STD,F_60
JCP,STD,F_66
PED,STD,F_66
MAD,STD,F_66
DGC,STD,F_70
HTC,STD,F_70
RDG,STD,F_75
MYP,STD,F_75
JNT,STD,F_75
KPH,STD,F_70
KUK,STD,F_70
BLR,STD,F_66
MSP,STD,F_66
BTN,STD,F_66
ERA,STD,F_60
ESI,STD,F_60
SRN,STD,F_60
AME_R,STD,F_55
PUN,STD,F_60
IRM,STD,F_60
KHA,STD,F_60
LKP,STD,F_66
ASM,STD,F_66
NAM,STD,F_66
GAB,STD,F_66
OMC,STD,F_60
MGB_R,STD,F_60
MKL,STD,F_60
NEM,STD,F_66
MSB,STD,F_66
DSN,STD,F_70
CHP,STD,F_70
VOM,STD,F_70
LBN,STD,F_75
SCR,STD,F_50
GNH,STD,F_50
MSH,STD,F_50
RTC,STD,F_55
CDP,STD,F_55
NAR,STD,F_55
SUB,STD,F_60
NAG,NGR,F_18
UPL,NGR,F_18
STD,NGR,F_12
NGR,NGR,F_12
HSG,NGR,F_12
TAR,NGR,F_18
MET,NGR,F_18
SEC_E,NGR,F_30
PRG,NGR,F_40
