stop_name,stop_id,scenario_id,scenario_name,intervention_type,cost_band,current_lmci,simulated_lmci,lmci_gain,priority_score,demand_signal,intervention_readiness,impact_multiplier,simulated_daily_ridership_gain,simulated_conversion_gain,network_value_score,mclp_selected,desert_severity,simulation_priority_score,intervention_rank
Raidurg,RDG,S4,Integrated Multimodal Hub,multimodal,High,3.749811129038678,6.749811129038678,3.0,75.86,47.0,1.0,1.37,255.49952000000005,45.98991360000001,10.726799846268266,True,Persistent,135.21,1
Musheerabad,MSH,S4,Integrated Multimodal Hub,multimodal,High,3.1133971213713707,5.9903971213713705,2.877,71.14,34.0,0.75,1.37,138.62208,24.9519744,9.519939105283381,True,Persistent,125.64,2
Ameerpet,AME,S4,Integrated Multimodal Hub,multimodal,High,2.9885318077229988,5.8655318077229985,2.877,62.69,35.0,0.75,1.37,142.69920000000002,25.685856,9.32150314883339,True,Persistent,124.88,3
S. R. Nagar,SRN,S4,Integrated Multimodal Hub,multimodal,High,2.69489561194423,5.44589561194423,2.7509999999999994,63.18,27.0,0.75,1.31,105.26112,18.9470016,8.27558297191045,False,Persistent,116.58,4
Mahatma Gandhi Bus Station,MGB,S4,Integrated Multimodal Hub,multimodal,High,2.067245172802937,4.692245172802936,2.6249999999999996,57.67,23.0,0.75,1.25,85.56,15.4008,6.803755500564257,False,Persistent,106.74,5
Madhura Nagar,MUN,S4,Integrated Multimodal Hub,multimodal,High,0.7681670983619681,3.3931670983619675,2.6249999999999996,55.55,16.0,0.75,1.25,59.519999999999996,10.7136,4.920092292624853,False,Persistent,98.97,6
Khairatabad,KHA,S4,Integrated Multimodal Hub,multimodal,High,4.209177587839349,6.127177587839349,1.918,53.05,28.0,0.5,1.37,76.10624000000001,13.699123200000002,9.737310622594293,True,Persistent,97.17,7
Sultan Bazar,SUB,S4,Integrated Multimodal Hub,multimodal,High,5.57841932376631,7.28641932376631,1.7080000000000002,36.18,27.0,0.5,1.2200000000000002,65.35296000000001,11.763532800000002,10.311740626994082,True,,93.08,8
Malakpet,MKL,S4,Integrated Multimodal Hub,multimodal,High,3.858084957176228,5.608084957176228,1.75,40.68,17.0,0.5,1.25,42.160000000000004,7.5888,8.13172318790553,False,Persistent,85.41,9
Gandhi Bhavan,GAB,S4,Integrated Multimodal Hub,multimodal,High,3.699247540181939,5.449247540181939,1.75,44.64,26.0,0.5,1.25,64.48,11.6064,7.90140893326381,False,Persistent,84.69,10
Erra Manzil,IRM,S4,Integrated Multimodal Hub,multimodal,High,3.6472890321534552,5.397289032153456,1.75,38.92,14.0,0.5,1.25,34.720000000000006,6.249600000000001,7.8260690966225095,False,Persistent,84.12,11
Narayanaguda,NAR,S4,Integrated Multimodal Hub,multimodal,High,3.630385792260094,5.380385792260094,1.75,43.26,17.0,0.5,1.25,42.160000000000004,7.5888,7.801559398777136,False,Persistent,84.09,12
RTC Cross Roads,RTC,S4,Integrated Multimodal Hub,multimodal,High,3.425800129809873,5.175800129809873,1.75,47.74,23.0,0.5,1.25,57.040000000000006,10.2672,7.504910188224315,False,Persistent,83.03,13
Assembly,ASM,S4,Integrated Multimodal Hub,multimodal,High,3.372593306056588,5.122593306056588,1.75,41.36,15.0,0.5,1.25,37.199999999999996,6.695999999999999,7.427760293782052,False,Persistent,82.55,14
Chikkadpally,CDP,S4,Integrated Multimodal Hub,multimodal,High,3.3162391804203777,5.066239180420378,1.75,43.15,16.0,0.5,1.25,39.68,7.142399999999999,7.346046811609547,False,Persistent,82.24,15
Dilsukh Nagar,DSN,S4,Integrated Multimodal Hub,multimodal,High,3.238979503296464,4.988979503296465,1.75,37.43,6.0,0.5,1.25,14.879999999999999,2.6784,7.234020279779873,False,Persistent,81.57,16
Rasoolpura,ROP,S4,Integrated Multimodal Hub,multimodal,High,3.2139701208184013,4.963970120818401,1.75,41.37,9.0,0.5,1.25,22.32,4.0176,7.197756675186682,False,Persistent,81.49,17
JBS Parade Ground,JBS,S4,Integrated Multimodal Hub,multimodal,High,2.9702852029656563,4.720285202965656,1.75,47.6,18.0,0.5,1.25,44.64,8.0352,6.844413544300201,False,Persistent,80.28,18
Begumpet,BEG,S4,Integrated Multimodal Hub,multimodal,High,2.8276011154195864,4.577601115419586,1.75,37.92,10.0,0.5,1.25,24.8,4.4639999999999995,6.6375216173583995,False,Persistent,79.27,19
Bharat Nagar,BTN,S4,Integrated Multimodal Hub,multimodal,High,2.7463230019135763,4.496323001913576,1.75,38.5,7.0,0.5,1.25,17.360000000000003,3.1248000000000005,6.519668352774684,False,Persistent,78.73,20
JNTU College,JNT,S4,Integrated Multimodal Hub,multimodal,High,2.65817072666844,4.408170726668439,1.75,39.74,6.0,0.5,1.25,14.879999999999999,2.6784,6.391847553669237,False,Persistent,78.2,21
Nampally,NAM,S4,Integrated Multimodal Hub,multimodal,High,2.510176880383564,4.260176880383564,1.75,48.66,24.0,0.5,1.25,59.519999999999996,10.7136,6.177256476556167,False,Persistent,77.74,22
Gandhi Hospital,GNH,S4,Integrated Multimodal Hub,multimodal,High,2.414700064302371,4.164700064302371,1.75,51.41,21.0,0.5,1.25,52.08,9.3744,6.038815093238438,False,Persistent,77.12,23
Nagole,NAG,S4,Integrated Multimodal Hub,multimodal,High,2.373761391274985,4.123761391274985,1.75,36.1,1.0,0.5,1.25,6.2,1.1159999999999999,5.979454017348727,False,Persistent,76.47,24
HITEC City,HTC,S4,Integrated Multimodal Hub,multimodal,High,2.287410809512619,4.037410809512619,1.75,51.02,21.0,0.5,1.25,52.08,9.3744,5.854245673793297,False,Persistent,76.39,25
Habsiguda,HSG,S4,Integrated Multimodal Hub,multimodal,High,2.186821281720864,3.936821281720864,1.75,41.85,5.0,0.5,1.25,12.4,2.2319999999999998,5.708390858495252,False,Persistent,75.45,26
Stadium,STD,S4,Integrated Multimodal Hub,multimodal,High,2.0046421663442944,3.7546421663442944,1.75,38.95,7.0,0.5,1.25,17.360000000000003,3.1248000000000005,5.444231141199226,False,Persistent,74.43,27
KPHB Colony,KPH,S4,Integrated Multimodal Hub,multimodal,High,1.8442654211241856,3.5942654211241853,1.75,42.53,7.0,0.5,1.25,17.360000000000003,3.1248000000000005,5.2116848606300685,False,Persistent,73.5,28
Erragadda,ERA,S4,Integrated Multimodal Hub,multimodal,High,1.840326431373359,3.590326431373359,1.75,37.99,6.0,0.5,1.25,14.879999999999999,2.6784,5.20597332549137,False,Persistent,73.46,29
Durgam Cheruvu,DGC,S4,Integrated Multimodal Hub,multimodal,High,1.7362576278364703,3.48625762783647,1.75,53.62,23.0,0.5,1.25,57.040000000000006,10.2672,5.055073560362882,False,Persistent,73.23,30
NGRI,NGR,S4,Integrated Multimodal Hub,multimodal,High,1.7889136614032215,3.5389136614032215,1.75,40.23,4.0,0.5,1.25,9.92,1.7855999999999999,5.13142480903467,False,Persistent,73.11,31
Miyapur,MYP,S4,Integrated Multimodal Hub,multimodal,High,1.6708528571801589,3.420852857180159,1.75,36.37,1.0,0.5,1.25,6.2,1.1159999999999999,4.96023664291123,False,Persistent,72.4,32
ESI Hospital,ESI,S4,Integrated Multimodal Hub,multimodal,High,1.614976284734686,3.364976284734686,1.75,42.05,4.0,0.5,1.25,9.92,1.7855999999999999,4.879215612865294,False,Persistent,72.11,33
Yusufguda,YUG,S4,Integrated Multimodal Hub,multimodal,High,1.4674730717681603,3.2174730717681603,1.75,44.26,11.0,0.5,1.25,27.28,4.9104,4.665335954063832,False,Persistent,71.41,34
Kukatpally,KUK,S4,Integrated Multimodal Hub,multimodal,High,3.245683133066311,4.7856831330663105,1.54,35.79,12.0,0.5,1.1,26.1888,4.713984,6.106531677792613,False,Partial,70.86,35
Madhapur,MAD,S4,Integrated Multimodal Hub,multimodal,High,1.0711198425754005,2.8211198425754005,1.75,47.58,9.0,0.5,1.25,22.32,4.0176,4.090623771734331,False,Persistent,69.06,36
Balanagar,BLR,S4,Integrated Multimodal Hub,multimodal,High,0.7526046333861008,2.5026046333861007,1.75,45.51,2.0,0.5,1.25,6.2,1.1159999999999999,3.6287767184098456,False,Persistent,67.07,37
Peddamma Gudi,PED,S4,Integrated Multimodal Hub,multimodal,High,0.7380747185802862,2.488074718580286,1.75,38.92,0.0,0.5,1.25,6.2,1.1159999999999999,3.6077083419414144,False,Persistent,66.99,38
Jubilee Hills Checkpost,JCP,S4,Integrated Multimodal Hub,multimodal,High,0.5291838182696206,2.2791838182696207,1.75,42.01,2.0,0.5,1.25,6.2,1.1159999999999999,3.30481653649095,False,Persistent,65.78,39
Road No 5 Jubilee Hills,JR5,S4,Integrated Multimodal Hub,multimodal,High,0.3518237082066869,2.101823708206687,1.75,45.73,5.0,0.5,1.25,12.4,2.2319999999999998,3.047644376899696,False,Persistent,64.8,40
Osmania Medical College,OMC,S4,Integrated Multimodal Hub,multimodal,High,6.4633738601823705,7.23337386018237,0.77,19.51,22.0,0.25,1.1,24.006400000000003,4.3211520000000005,9.229785045592704,False,,60.24,41
Lakdi-ka-pul,LKP,S4,Integrated Multimodal Hub,multimodal,High,6.226414036682479,6.996414036682479,0.77,23.28,27.0,0.25,1.1,29.462400000000006,5.303232000000001,8.927424310806844,False,,59.07,42
