stop_id,stop_name,stop_lat,stop_lon
MYP,Miyapur,17.4965452,78.3730262
JNT,JNTU College,17.4987037,78.3888668
KPH,KPHB Colony,17.4937602,78.4018258
KUK,Kukatpally,17.4849033,78.4117896
BLR,Balanagar,17.4767464,78.4221082
MSP,Moosapet,17.4718855,78.4261182
BTN,Bharat Nagar,17.4629092,78.4305364
ERA,Erragadda,17.4570487,78.4335811
ESI,ESI Hospital,17.4486969,78.4376283
SRN,S. R. Nagar,17.4431205,78.4407241
AME,Ameerpet,17.4357214,78.4447933
PUN,Panjagutta,17.4289362,78.450955
IRM,Erra Manzil,17.4202292,78.4563489
KHA,Khairatabad,17.4116323,78.4608678
LKP,Lakdi-ka-pul,17.4040433,78.4649442
ASM,Assembly,17.3979907,78.4708797
NAM,Nampally,17.392222,78.4701612
GAB,Gandhi Bhavan,17.3858253,78.4733347
OMC,Osmania Medical College,17.3820769,78.4817011
MGB,Mahatma Gandhi Bus Station,17.3797886,78.4861571
MKL,Malakpet,17.3771888,78.4939356
NEM,New Market,17.3734454,78.5031791
MSB,Musarambagh,17.3710873,78.5119545
DSN,Dilsukh Nagar,17.3685493,78.5253873
CHP,Chaitanyapuri,17.3681501,78.5381335
VOM,Victoria Memorial,17.3618565,78.5439622
LBN,L. B. Nagar,17.349846,78.5479412
SUB,Sultan Bazar,17.3844473,78.4840241
NAR,Narayanaguda,17.3943658,78.4899578
CDP,Chikkadpally,17.4003634,78.4948964
RTC,RTC Cross Roads,17.4070321,78.4968023
MSH,Musheerabad,17.4178744,78.4995051
GNH,Gandhi Hospital,17.4255155,78.501956
SCR,Secunderabad West,17.4338034,78.4995181
JBS,JBS Parade Ground,17.4444775,78.497584
NAG,Nagole,17.3907683,78.5588222
UPL,Uppal,17.4000665,78.5601868
STD,Stadium,17.4074002,78.5542531
NGR,NGRI,17.4148264,78.5463345
HSG,Habsiguda,17.42018,78.540548
TAR,Tarnaka,17.4274418,78.5300079
MET,Mettuguda,17.4355207,78.5195754
SEC_E,Secunderabad East,17.4357184,78.5054623
PRG,Parade Ground,17.4431943,78.4974687
PAR,Paradise,17.4434668,78.4862436
ROP,Rasoolpura,17.443612,78.4764053
PRN,Prakash Nagar,17.4448889,78.4658749
BEG,Begumpet,17.4375661,78.4569341
MUN,Madhura Nagar,17.4369652,78.4390993
YUG,Yusufguda,17.4351132,78.4273216
JR5,Road No 5 Jubilee Hills,17.4300489,78.4232069
JCP,Jubilee Hills Checkpost,17.4281969,78.4137145
PED,Peddamma Gudi,17.4306512,78.4083721
MAD,Madhapur,17.4372637,78.4004257
DGC,Durgam Cheruvu,17.4429466,78.3875721
HTC,HITEC City,17.4490055,78.3831376
RDG,Raidurg,17.442,78.3772038
