stop_id,stop_name,stop_lat,stop_lon,LMCI_old,LMCI_new,LMCI_new2,LMCI_mean,Morning_LMCI,Midday_LMCI,Evening_LMCI,density_norm,walkzone_norm,Morning_freq_norm,stop_count_3km,stop_count_800m,demand_count,desert_severity,is_persistent_desert,priority_score,service_class,candidate_rank,covered_demand_points_if_selected,weighted_demand_if_selected,equity_weighted_candidate_score,mclp_selected,mclp_selection_rank,mclp_marginal_weighted_demand,mclp_cumulative_coverage_pct,assigned_demand_count,demand_signal,service_signal,mismatch_class,is_high_demand_low_service,is_possible_overserved,demand_percentile,service_percentile,lmci_gap_raw,lmci_gap_norm,demand_norm,mclp_candidate_norm,temporal_gap,temporal_gap_norm,desert_norm,final_priority_score,priority_band,final_priority_rank
RDG,Raidurg,17.442,78.3772038,2.734352337226545,3.749811129038678,3.749811129038678,2.734352337226545,2.6665666051366914,3.035378702085962,2.501111704456984,0.3504559270516717,0.3571428571428571,0.1392860281838689,622.5,7,47,Persistent,True,6.135442089446057,Transit Desert,1,35,35.0,49.54045131584578,True,1.0,35.0,0.5932706161539113,35.0,47,3.749811129038678,High Demand - High Service,False,False,100.0,73.68421052631578,2.7135627311436923,0.44400563910393137,1.0,1.0,0.5342669976289778,0.2536135559933566,1.0,75.86,Critical,1
MSH,Musheerabad,17.4178744,78.4995051,2.070094031544979,3.1133971213713707,3.1133971213713707,2.070094031544979,2.3542688768777458,2.0143671256960864,1.8416460920611053,0.2403039513677811,0.2857142857142857,0.2167587085811385,441.3,6,34,Persistent,True,7.074262099919407,Transit Desert,2,27,33.25,47.96365847237775,True,2.0,33.25,1.156877701500127,27.0,34,3.1133971213713707,Balanced,False,False,94.73684210526315,52.63157894736842,3.3499767388109998,0.5481386318539906,0.723404255319149,0.9681716092286854,0.5126227848166405,0.24083458034242572,1.0,71.14,High,2
SRN,S. R. Nagar,17.4431205,78.4407241,3.03757662778643,2.69489561194423,2.69489561194423,3.03757662778643,2.0235194314534146,3.821968119040195,3.267242332865679,0.1325227963525836,0.2857142857142857,0.2687977909940527,264.0,6,27,Persistent,True,5.706884359411932,Transit Desert,7,12,14.0,20.44448142983044,False,,0.0,0.0,0.0,27,2.69489561194423,Balanced,False,False,89.47368421052632,40.35087719298245,3.7684782482381403,0.6166157774259453,0.574468085106383,0.4126825833597354,1.7984486875867804,1.0,1.0,63.18,High,3
AME,Ameerpet,17.4357214,78.4447933,2.6171747053108043,2.9885318077229988,2.9885318077229988,2.6171747053108043,1.961578687766797,2.922438107116523,2.967507321049094,0.0778115501519756,0.3571428571428571,0.3038445199660153,174.0,7,35,Persistent,True,6.301053425701015,Transit Desert,6,15,16.0,23.1652498267658,True,5.0,16.0,2.2162895160606837,15.0,35,2.9885318077229988,Balanced,False,False,96.49122807017544,49.122807017543856,3.4748420524593717,0.5685696698956251,0.7446808510638298,0.46760272083666443,1.005928633282297,0.5320876501889377,1.0,62.69,High,4
MGB,Mahatma Gandhi Bus Station,17.3797886,78.4861571,1.5766460190962943,2.067245172802937,2.067245172802937,1.5766460190962943,1.6258312178972352,1.3586766654475984,1.745430173944049,0.1531914893617021,0.0714285714285714,0.1971112999150382,298.0,3,23,Persistent,True,7.771669816545243,Transit Desert,5,13,16.25,24.164105176642263,False,,0.0,0.0,0.0,23,2.067245172802937,High Demand - Low Service,True,False,80.7017543859649,26.31578947368421,4.396128687379433,0.7193148347082278,0.48936170212765956,0.48776514009902133,0.3867535084964506,0.1665200080712105,1.0,57.67,High,5
MUN,Madhura Nagar,17.4369652,78.4390993,0.413836974936407,0.7681670983619681,0.7681670983619681,0.413836974936407,0.2439061237033001,0.5356651055838615,0.4619396955220594,0.0006079027355623,0.0714285714285714,0.0423595096492292,47.0,3,16,Persistent,True,9.415109408763184,Transit Desert,12,9,10.25,15.808449475636696,False,,0.0,0.0,0.0,16,0.7681670983619681,Balanced,False,False,62.28070175438597,8.771929824561402,5.695206761820402,0.9318759758486658,0.3404255319148936,0.3191018461832276,0.2917589818805614,0.11043421954559542,1.0,55.55,High,6
DGC,Durgam Cheruvu,17.4429466,78.3875721,0.8922031867669326,1.7362576278364703,1.7362576278364703,0.8922031867669326,1.0943682485738562,0.4465968210040166,1.135644490722925,0.0,0.0714285714285714,0.2557349192863212,46.0,3,23,Persistent,True,8.739017340121256,Transit Desert,28,6,6.25,9.381892880945903,False,,0.0,0.0,0.0,23,1.7362576278364703,High Demand - Low Service,True,False,80.7017543859649,17.543859649122805,4.7271162323459,0.7734725421205556,0.48936170212765956,0.1893784297831993,0.6890476697189085,0.3449977267655325,1.0,53.62,Medium,7
KHA,Khairatabad,17.4116323,78.4608678,3.7472385151098737,4.209177587839349,4.209177587839349,3.7472385151098737,3.762255931911927,3.882308710395584,3.59715090302211,0.2281458966565349,0.3571428571428571,0.5660958978715988,421.3,7,28,Persistent,True,4.703893843838434,Transit Desert,3,19,22.75,31.75670032468745,True,3.0,22.75,1.5425036020001694,19.0,28,4.209177587839349,High Demand - High Service,False,False,92.98245614035088,82.45614035087719,2.2541962723430213,0.3688419821956801,0.5957446808510638,0.6410256564321992,0.28515780737347374,0.1065368152359531,1.0,53.05,Medium,8
GNH,Gandhi Hospital,17.4255155,78.501956,1.397843848151881,2.414700064302371,2.414700064302371,1.397843848151881,1.872900811656032,1.112719520697809,1.2079112121018014,0.0832826747720364,0.2857142857142857,0.2926932880203908,183.0,6,21,Persistent,True,8.024377316869918,Transit Desert,20,7,8.75,12.882102560984375,False,,0.0,0.0,0.0,21,2.414700064302371,High Demand - Low Service,True,False,74.56140350877193,33.33333333333333,4.048673795879999,0.6624626641689559,0.44680851063829785,0.2600319984744258,0.7601812909582228,0.38699578054837086,1.0,51.41,Medium,9
HTC,HITEC City,17.4490055,78.3831376,1.7131670713554572,2.287410809512619,2.287410809512619,1.7131670713554572,1.7226075773500713,1.4952759672841092,1.921617669432192,0.129483282674772,0.3571428571428571,0.1795120767083384,259.0,7,21,Persistent,True,7.578719732796917,Transit Desert,15,10,10.0,14.776554828439302,False,,0.0,0.0,0.0,21,2.287410809512619,High Demand - Low Service,True,False,74.56140350877193,29.82456140350877,4.175963050669751,0.6832903186305009,0.44680851063829785,0.2982725113711861,0.42634170214808287,0.189893302684641,1.0,51.02,Medium,10
